date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:02	2226/2226	---M--	200	added ('OK')	image/gif	etag:W/%222226-1449557320645%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter5.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter5.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:02	1291/1291	---M--	200	added ('OK')	image/gif	etag:W/%221291-1404272373004%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter1h.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter1h.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:03	1240/1240	---M--	200	added ('OK')	image/gif	etag:W/%221240-1404272373055%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter2h.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter2h.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:04	4309/4309	---M--	200	added ('OK')	image/gif	etag:W/%224309-1449559344054%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter3h.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter3h.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:05	4309/4309	---M--	200	added ('OK')	image/gif	etag:W/%224309-1449559344054%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter4h.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter4h.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:05	4309/4309	---M--	200	added ('OK')	image/gif	etag:W/%224309-1449559344054%22	http://www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter5h.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/layout/oneorange/image/oraen_enter5h.gif	(from http://www.ais.fju.edu.tw/layout/oneorange/css/style_EN.css)
11:21:06	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:05%20GMT	http://www.ais.fju.edu.tw/css/images/animated-overlay.gif	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/css/images/animated-overlay.4c.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:07	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:06%20GMT	http://www.ais.fju.edu.tw/css/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/css/images/ui-bg_flat_75_ffffff_40x100.4d.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:07	1368/1368	---M--	200	added ('OK')	image/png	etag:W/%221368-1386644474000%22	http://www.ais.fju.edu.tw/image/jqueryui/ui-bg_gloss-wave_35_f6a828_500x100.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-bg_gloss-wave_35_f6a828_500x100.png	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:08	1072/1072	---M--	200	added ('OK')	image/png	etag:W/%221072-1386644474000%22	http://www.ais.fju.edu.tw/image/jqueryui/ui-bg_glass_100_fdf5ce_1x400.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-bg_glass_100_fdf5ce_1x400.png	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:09	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:08%20GMT	http://www.ais.fju.edu.tw/css/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/css/images/ui-bg_glass_55_fbf9ee_1x400.50.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:10	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:09%20GMT	http://www.ais.fju.edu.tw/css/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/css/images/ui-bg_glass_95_fef1ec_1x400.51.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:10	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:09%20GMT	http://www.ais.fju.edu.tw/css/images/ui-icons_222222_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/css/images/ui-icons_222222_256x240.52.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:11	9160/9160	---M--	200	added ('OK')	image/png	etag:W/%229160-1386644470000%22	http://www.ais.fju.edu.tw/image/jqueryui/ui-icons_ffffff_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-icons_ffffff_256x240.png	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:12	8975/8975	---M--	200	added ('OK')	image/png	etag:W/%228975-1386644472000%22	http://www.ais.fju.edu.tw/image/jqueryui/ui-icons_888888_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-icons_888888_256x240.png	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:13	11011/11011	---M--	200	added ('OK')	image/png	etag:W/%2211011-1386644478000%22	http://www.ais.fju.edu.tw/image/jqueryui/ui-icons_ef8c08_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-icons_ef8c08_256x240.png	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:13	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:12%20GMT	http://www.ais.fju.edu.tw/image/jqueryui/ui-icons_454545_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-icons_454545_256x240.56.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:14	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:13%20GMT	http://www.ais.fju.edu.tw/image/jqueryui/ui-icons_2e83ff_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-icons_2e83ff_256x240.57.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:15	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:13%20GMT	http://www.ais.fju.edu.tw/image/jqueryui/ui-icons_cd0a0a_256x240.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-icons_cd0a0a_256x240.58.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
11:21:15	276/276	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2003:21:15%20GMT	http://www.ais.fju.edu.tw/image/jqueryui/ui-bg_flat_0_aaaaaa_40x100.png	C:/Users/User/Downloads/web/www.ais.fju.edu.tw/image/jqueryui/ui-bg_flat_0_aaaaaa_40x100.59.delayed	(from http://www.ais.fju.edu.tw/css/jquery-ui.css)
